,Calculated variables,Type(Stoichiometric),,,,,
Symbol,Name,Expression,Value,Unit,Decimals,Rule,Principle/comment
AUR,Ammonia uptake rate (AUR),"-(iN,BIO*(r1+r2+r6+r8)+v4_SNHx*r4+v16_SNHx*r16+v19_SNHx*r19)",25.82575557,g N.m-3.d-1,1,Non-Digester,
rbCODDR,rbCOD degradation rate (rbCODDR),-(v1_SB * r1 + v2_SB * r2 +  v6_SB * r6 + v15_XB * r15 ),1114.618637,g COD.m-3.d-1,1,,
AAR,Anaerobic activity rate (AAR),v15_SH2 * r15  + v6_SCH4 * r6 + v8_SCH4 * r8,0.07439728,g COD.m-3.d-1,1,,
,,,,,,,
,Anaerobic toxicity factor,Type(Kinetic),,,,,
Symbol,Name,Expression,Value,Unit,Decimals,Rule,Principle/comment
"mtox,ana",Toxicity factor of aerobes under anaerobic conditions (in digester),"mtox,ana,max",10,unitless,1,Digester,
"mtox,ana",Toxicity factor of aerobes under anaerobic conditions (not in digester),0,0,unitless,1,Non-Digester,
,,,,,,,
,Half-saturations for ordinary heterotrophic organisms (OHO),Type(Kinetic),,,,,
Symbol,Name,Expression,Value,Unit,Decimals,Rule,Principle/comment
KSB,Half-saturation of readily biodegradable substrate for OHOs,"KSB,AS",5,g COD.m-3,2,Non-Biofilm,
KSB,Half-saturation of readily biodegradable substrate for OHOs,"KSB,AS*fKS",0.5,g COD.m-3,2,Biofilm,"fKS=1 in bulk and fKS,biofilm in biofilm"
"KO2,OHO",Half-saturation of O2 for OHOs,"KO2,OHO,AS",0.15,g O2.m-3,2,Non-Biofilm,
"KO2,OHO",Half-saturation of O2 for OHOs,"KO2,OHO,AS*fKS",0.015,g O2.m-3,3,Biofilm,"fKS=1 in bulk and fKS,biofilm in biofilm"
"KNOx,OHO",Half-saturation of NOx for OHOs,"KNOx,OHO,AS",0.03,g N.m-3,2,Non-Biofilm,
"KNOx,OHO",Half-saturation of NOx for OHOs,"KNOx,OHO,AS*fKS",0.003,g N.m-3,3,Biofilm,"fKS=1 in bulk and fKS,biofilm in biofilm"
,,,,,,,
,Half-saturations for aerobic nitrifying organisms (NITO),Type(Kinetic),,,,,
Symbol,Name,Expression,Value,Unit,Decimals,Rule,Principle/comment
"KNHx,NITO",Half-saturation of NHx for NITOs,"KNHx,NITO,AS",0.7,g N.m-3,2,Non-Biofilm,
"KNHx,NITO",Half-saturation of NHx for NITOs,"KNHx,NITO,AS*fKS",0.07,g N.m-3,3,Biofilm,"fKS=1 in bulk and fKS,biofilm in biofilm"
"KO2,NITO",Half-saturation of O2 for NITOs,"KO2,NITO,AS",0.5,g O2.m-3,2,Non-Biofilm,
"KO2,NITO",Half-saturation of O2 for NITOs,"KO2,NITO,AS*fKS",0.05,g O2.m-3,3,Biofilm,"fKS=1 in bulk and fKS,biofilm in biofilm"
"KNOx,NITO",Half-saturation of NOx for NITOs,"KNOx,NITO,AS",0.03,g N.m-3,2,Non-Biofilm,
"KNOx,NITO",Half-saturation of NOx for NITOs,"KNOx,NITO,AS*fKS",0.003,g N.m-3,3,Biofilm,"fKS=1 in bulk and fKS,biofilm in biofilm"
,,,,,,,
,Half-saturations for acidoclastic methanogens (AMETO),Type(Kinetic),,,,,
