,Ordinary heterotrophic organism kinetics (OHO),Type(Kinetic),,,,,,
"¦È?,OHO",Arrhenius coefficient for OHO growth,1.04,0,BigNumber,unitless,3,,
"¦ÈFERM,OHO",Arrhenius coefficient for fermentation (OHO),1.04,0,BigNumber,unitless,3,,
"¦Èb,OHO",Arrhenius coefficient for OHO decay,1.03,0,BigNumber,unitless,3,,
"¦È?,NITO",Arrhenius coefficient for NITO growth,1.072,0,BigNumber,unitless,3,,
"¦Èb,NITO",Arrhenius coefficient for NITO decay,1.03,0,BigNumber,unitless,3,,
"¦È?,AMETO",Arrhenius coefficient for AMETO growth,1.03,0,BigNumber,unitless,3,,
"¦Èb,AMETO",Arrhenius coefficient for AMETO decay,1.03,0,BigNumber,unitless,3,,
"¦È?,HMETO",Arrhenius coefficient for HMETO growth,1.03,0,BigNumber,unitless,3,,
"¦Èb,HMETO",Arrhenius coefficient for HMETO decay,1.03,0,BigNumber,unitless,3,,
"¦È?,ALGAE",Arrhenius coefficient for ALGAE growth,1.040,0.000,BigNumber,unitless,3,,
"¦Èb,ALGAE",Arrhenius coefficient for ALGAE decay,1.030,0.000,BigNumber,unitless,3,,
"¦Èq,HYD",Arrhenius coefficient for hydrolysis,1.03,0,BigNumber,unitless,3,,
"¦Èq,AMMON",Arrhenius coefficient for ammonification,1.03,0,BigNumber,unitless,3,,
"¦Èq,XE",Arrhenius coefficient endogenous residual conversion,1.030,0.000,BigNumber,unitless,3,,
"¦Èq,XU",Arrhenius particulate unbiodegradable organics conversion,1.030,0.000,BigNumber,unitless,3,,
"¦Èq,ASSIM",Arrhenius coefficient assimilative kinetics,1.03,0,BigNumber,unitless,3,,
Tbase,Arrhenius base temperature,20.0,1,60,Co,1,,
,,,,,,,,
,Stoichiometric yields,Type(Stoichiometric),,,,,,
Symbol,Name,Default,Low limit,High limit,Unit,Decimals,Rule,Principle/comment
"YOHO,SB,ox",Yield of OHOs on readily biodegradable substrate under aerobic conditions,0.67,0,1,g COD.g COD-1,2,,
"YOHO,SB,anox",Yield of OHOs on readily biodegradable substrate under anoxic conditions,0.54,0,1,g COD.g COD-1,2,,
YNITO,Yield of NITOs on NHx,0.24,0,1,g COD.g COD-1,2,,
YAMETO,Yield of AMETOs on VFA,0.1,0,1,g COD.g COD-1,2,,
YHMETO,Yield of HMETOs on H2,0.1,0,1,g COD.g COD-1,2,,
,,,,,,,,
,General stoichiometry,Type(Stoichiometric),,,,,,
Symbol,Name,Default,Low limit,High limit,Unit,Decimals,Rule,Principle/comment
fH2,Fraction of H2 produced in anaerobic hydrolysis,0.25,0,BigNumber,g SH2.g XB-1,2,,
fE,Fraction of endogenous products produced in biomass decay,0.08,0,BigNumber,g XE.g XBIO-1,2,,
"iN,BIO",N content of biomasses,0.070,0,BigNumber,g N.g COD-1,3,,
"iN,ALGAE",N content of algae,0.070,0,0.5,g N.g COD-1,3,,
"iN,XE",N content of endogenous products,0.060,0,0.5,g N.g COD-1,3,,
"iN,SU",N content of soluble unbiodegradable organics,0.010,0,0.1,g N.g COD-1,3,,
"iN,XU",N content of particulate unbiodegradable organics,0.010,0,0.1,g N.g COD-1,3,,
"iP,BIO",P content of biomasses,0.020,0,BigNumber,g P.g COD-1,3,,
"iP,ALGAE",P content of algae,0.020,0,0.1,g P.g COD-1,3,,
"fP,Fe",Fraction of P per Fe in FeP,0.000,0,BigNumber,g P.g FeP-1,4,,
"fH2O,FeOH,TSS",Fraction of H2O loss in TSS test for FeOH,0.0829,0,BigNumber,g H2O.g FeOH-1,4,,
"fH2O,FeOH,VSS",Fraction of H2O loss in VSS test for FeOH,0.2529,0,BigNumber,g H2O.g FeOH-1,4,,Me(OH)3 -> Me2O3 + 3H2O
"fP,Al",Fraction of P per Al in AlP,0.0000,0,BigNumber,g P.g AlP-1,4,,
"fH2O,AlOH,TSS",Fraction of H2O loss in TSS test for AlOH,0.1135,0,BigNumber,g H2O.g AlOH-1,4,,
"fH2O,AlOH,VSS",Fraction of H2O loss in VSS test for AlOH,0.3464,0,BigNumber,g H2O.g AlOH-1,4,,Me(OH)3 -> Me2O3 + 3H2O
"iCV,BIO",COD of biomass in volatile solids,1.42,0,BigNumber,g COD.g VSS-1,2,,
"iCV,XB",COD of biodegradable substrate in volatile solids,1.80,0,BigNumber,g COD.g VSS-1,2,Key(1200),
"iCV,XU",COD of particulate unbiodegradable organics in volatile solids,1.30,0,BigNumber,g COD.g VSS-1,2,Key(1100),
"iCV,SB",COD of readily biodegradable substrate in volatile solids,1.07,0,BigNumber,g COD.g VS-1,2,,
"iCV,SU",COD of soluble unbiodegradable organics in volatile solids,0.93,0,BigNumber,g COD.g VS-1,2,,
"iCV,XE",COD of endogenous products in volatile solids,1.42,0,BigNumber,g COD.g VSS-1,2,,
"YBOD,ult",Yield on ultimate BOD,0.95,0,BigNumber,g O2.g COD-1,2,,
"fS,BOD5,BODult",Fraction of BOD5 to ultimate BOD in soluble biodegradable substrates,0.90,0,BigNumber,unitless,2,,
"fX,BOD5,BODult",Fraction of BOD5 to ultimate BOD in particulate biodegradable substrates,0.50,0,BigNumber,unitless,2,,
,,,,,,,,
,Parameters for gas transfer,Type(Kinetic),,,,,,
Symbol,Name,Default,Low limit,High limit,Unit,Decimals,Rule,Principle/comment
"kL,GO2,bub",Liquid-side mass transfer coefficient of O2 for gas bubbles,13,0,BigNumber,m.d-1,2,,
"kL,GO2,sur",Liquid-side mass transfer coefficient of O2 at liquid surface,7.6,0,BigNumber,m.d-1,2,,
"kL,GO2,PondSurface",Liquid-side mass transfer coefficient of O2 at liquid surface of a pond,0.228,0,BigNumber,m.d-1,2,,
"fkL,GN2",Correction factor for mass transfer of N2,1,0,BigNumber,-,2,,
"fkL,GCH4",Correction factor for mass transfer of CH4,1,0,BigNumber,-,2,,
"fkL,GH2",Correction factor for mass transfer of H2,1,0,BigNumber,-,2,,
qALPHA,Alpha improvement rate,0.0014,0,BigNumber,m3.g-1.d-1,4,,
"SALPHA,sat",Maximum alpha indicator,1,0,1,unitless,1,,
"KO2,ALPHA",Half-saturation of dissolved oxygen for alpha rate,0.05,0,BigNumber,g O2.m-3,2,,
"fO2,max,ALPHA",Non-aerated zone alpha improvement rate increase,2.5,0,BigNumber,unitless,1,,
"coeffdamp,ALPHA",Coefficient of alpha first order limitation-dampening term,4.2,0,BigNumber,unitless,1,,
"powdamp,ALPHA",Power of alpha first order limitation-dampening term,7.3,0,BigNumber,unitless,1,,
"slh,diff,¦Á",Slope of depth-related alpha factor correction term,-0.29,-BigNumber,BigNumber,m-1,2,,
"slTSS,¦Á,def","Slope of solids-related alpha factor correction term, default",-0.0711,-BigNumber,BigNumber,m3.kg TSS-1,4,,
"slTSS,¦Á,coarse","Slope of solids-related alpha factor correction term, coarse bubbles",-0.0474,-BigNumber,BigNumber,m3.kg TSS-1,4,,
"coefflead,TSS,¦Á,mech","Leading coefficient of solids-related alpha correction term, mechanical aeration",-0.000787,-BigNumber,BigNumber,(kg TSS.m-3)-2,6,,
"coefflin,TSS,¦Á,mech","Linear coefficient of solids-related alpha correction term, mechanical aeration",0.0232,-BigNumber,BigNumber,m3.kg TSS-1,4,,
"constTSS,¦Á,mech","Constant of solids-related alpha correction term, mechanical aeration",0.877,0,BigNumber,unitless,3,,
,,,,,,,,
,Oxidation-reduction potential constants,Type(Kinetic),,,,,,
Symbol,Name,Default,Low limit,High limit,Unit,Decimals,Rule,Principle/comment
ORPbase,Base ORP value,-300,-BigNumber,BigNumber,mV,1,,
"ORPmax,SO2",ORP max for dissolved oxygen,300,0,BigNumber,mV,1,,
"ORPmax,SNOx",ORP max for dissolved nitrate,70,0,BigNumber,mV,1,,
"KORP,SO2",Half-saturation of dissolved oxygen for ORP,0.05,0,BigNumber,g O2.m-3,1,,
"KORP,SNOx",Half-saturation of NOx for ORP,0.1,0,BigNumber,g N.m-3,1,,
"KORP,ana",Half-saturation of anaerobic activity for anaerobic ORP,0.05,0,BigNumber,g COD.m-3,,,
,,,,,,,,
,Interstitial water content,Type(Stoichiometric),,,,,,
Symbol,Name,Default,Low limit,High limit,Unit,Decimals,Rule,Principle/comment
"iiw,BIO",Intracellular water of biomass in volatile solids,4.00,0,9,g H2O.g VS-1,2,,Assuming 80% of biomass cytoplasm is water(wet mass0.8/ dry mass0.2)
,,,,,,,,
,Vicinal water content,Type(Stoichiometric),,,,,,
Symbol,Name,Default,Low limit,High limit,Unit,Decimals,Rule,Principle/comment
